epoch,loss,val_loss
0,1.520067572593689,1.238825798034668
1,1.0633407831192017,0.8441997766494751
2,0.6929450035095215,0.5565760135650635
3,0.5035977363586426,0.4502869248390198
4,0.4354039430618286,0.41965731978416443
5,0.4070241153240204,0.392316997051239
6,0.3886318802833557,0.37616056203842163
7,0.3752446174621582,0.3654209077358246
8,0.36581140756607056,0.35622191429138184
9,0.35557740926742554,0.3461466133594513
10,0.3447538912296295,0.3413533866405487
11,0.33512815833091736,0.33283552527427673
12,0.32795217633247375,0.32636746764183044
13,0.3206183612346649,0.31950652599334717
14,0.31340545415878296,0.3153690993785858
15,0.30707576870918274,0.30838027596473694
16,0.3029811978340149,0.30643582344055176
17,0.29881805181503296,0.303024560213089
18,0.2932286858558655,0.29919302463531494
19,0.2885902225971222,0.2950232923030853
20,0.28448501229286194,0.29388463497161865
21,0.2793801724910736,0.29050227999687195
22,0.2767629027366638,0.2851770520210266
23,0.27148452401161194,0.2858380377292633
24,0.26929426193237305,0.2814544439315796
25,0.265353262424469,0.2808744013309479
26,0.25958356261253357,0.27735546231269836
27,0.256072461605072,0.27436497807502747
28,0.2536658048629761,0.27088743448257446
29,0.25538191199302673,0.27305835485458374
30,0.2500409781932831,0.2713973820209503
31,0.24544726312160492,0.2667213976383209
32,0.23952217400074005,0.26659348607063293
33,0.23877616226673126,0.27174410223960876
34,0.23595352470874786,0.26105043292045593
35,0.23318107426166534,0.34359848499298096
36,0.23002849519252777,0.25823038816452026
37,0.2282421737909317,0.2608301341533661
38,0.22337080538272858,0.3651520311832428
39,0.22076104581356049,0.2624224126338959
40,0.219430610537529,0.25855597853660583
41,0.21592344343662262,0.2519088685512543
42,0.21353784203529358,0.24867039918899536
43,0.21177977323532104,0.24965521693229675
44,0.20757125318050385,0.25116732716560364
45,0.20628304779529572,0.2491046041250229
46,0.20254342257976532,0.2521403729915619
47,0.2007572203874588,0.2488332986831665
48,0.1995214819908142,0.2476348876953125
49,0.19617080688476562,0.24809063971042633
50,0.1924668252468109,0.25046178698539734
51,0.19149914383888245,0.24246594309806824
52,0.18863429129123688,0.24060900509357452
53,0.18636968731880188,0.24251507222652435
54,0.18506686389446259,0.24546994268894196
55,0.18117983639240265,0.2459433227777481
56,0.1806618571281433,0.24405008554458618
57,0.17790883779525757,0.24387630820274353
58,0.17479166388511658,0.24807006120681763
59,0.17297935485839844,0.23928841948509216
